"set"	"subject"	"subject_set"	"session"	"list"	"group"	"age"	"sex"	"hand"	"assist"	"trial"	"file"	"stimulus"	"is_target"	"is_word"	"targettype"	"red"	"is_schwa"	"duration"	"rt"	"rt_end"	"response"	"correctness"	"log_rt"	"preceding_rt"	"log_preceding_rt"	"voctest_correctness"	"jaar"	"spreken"	"luisteren"	"lezen"	"schrijven"	"av_prof"	"lextale.scores"	"p_universally"	"p_french"	"p_dutch"	"r"
"t23"	47	"47 t23"	1	"B1"	"1"	23	"female"	"left"	"Ferdy"	169	"t23_2_p2_2_mono.wav"	"la s'cousse"	"yes"	"yes"	"mismatch"	"r"	"yes"	865	1723	858	1	"yes"	7.45182223652793	1722	7.45124168498768	"correct"	3	1	1	1	1	1	-7	"L"	"L"	"L"	"no"
"t23"	30	"30 t23"	1	"D1"	"2"	18	"female"	"right"	"Nadia"	125	"t23_1_p3_2_mono.wav"	"la secousse"	"yes"	"yes"	"mismatch"	"u"	"yes"	899	1798	899	5	"yes"	7.49443021503157	1646	7.40610338123702	"correct"	3	1	2	2	1	1.5	1	"L"	"L"	"L"	"no"
"t23"	22	"22 t23"	1	"B1"	"2"	22	"female"	"right"	"Ferdy"	169	"t23_2_p2_2_mono.wav"	"la s'cousse"	"yes"	"yes"	"match"	"r"	"yes"	865	803	-62	5	"yes"	6.68835471394676	870	6.76849321164863	"correct"	3	2	2	2	2	2	-6	"L"	"L"	"L"	"no"
"t23"	24	"24 t23"	1	"B2"	"2"	18	"female"	"right"	"Ferdy"	169	"t23_1_p3_2_mono.wav"	"la secousse"	"yes"	"yes"	"mismatch"	"u"	"yes"	899	2722	1823	5	"yes"	7.90912218321141	2010	7.60589000105312	"correct"	3	1	3	3	1	2	2	"L"	"L"	"L"	"no"
"t23"	7	"7 t23"	1	"B2"	"1"	19	"female"	"right"	"Other"	169	"t23_1_p3_2_mono.wav"	"la secousse"	"yes"	"yes"	"match"	"u"	"yes"	899	2053	1154	5	"yes"	7.62705741701893	1148	7.04577657687951	"wrong"	3	1	1	1	1	1	-6	"L"	"L"	"L"	"no"
"t23"	34	"34 t23"	1	"C1"	"2"	18	"female"	"right"	"Ilse"	155	"t23_2_p2_2_mono.wav"	"la s'cousse"	"yes"	"yes"	"match"	"r"	"yes"	865	1091	226	5	"yes"	6.99484998583307	1992	7.59689443814454	"correct"	3	2	3	3	4	3	-5	"L"	"L"	"L"	"no"
"t23"	21	"21 t23"	1	"B1"	"1"	18	"female"	"right"	"Other"	169	"t23_2_p2_2_mono.wav"	"la s'cousse"	"yes"	"yes"	"mismatch"	"r"	"yes"	865	2017	1152	5	"yes"	7.60936653795421	1116	7.01750614294126	"correct"	3	2	1	2	2	1.75	-5	"L"	"L"	"L"	"no"
"t23"	23	"23 t23"	1	"B2"	"1"	23	"female"	"right"	"Ferdy"	169	"t23_1_p3_2_mono.wav"	"la secousse"	"yes"	"yes"	"match"	"u"	"yes"	899	1644	745	5	"yes"	7.40488757561612	2010	7.60589000105312	"wrong"	3	3	2	2	1	2	NA	"L"	"L"	"L"	"no"
"t24"	5	"5 t24"	1	"B1"	"1"	20	"female"	"right"	"Other"	43	"t24_2_p1_2_mono.wav"	"le f'san"	"yes"	"yes"	"mismatch"	"r"	"yes"	573	953	380	5	"yes"	6.8596149036542	1077	6.98193467715639	"correct"	2	2	2	2	3	2.25	-3	"I"	"I"	"I"	"no"
"t24"	13	"13 t24"	1	"D1"	"1"	21	"male"	"right"	"Nadia"	166	"t24_1_p2_2_mono.wav"	"le faisan"	"yes"	"yes"	"match"	"u"	"yes"	686	1186	500	5	"yes"	7.07834157955767	2450	7.80384330353877	"correct"	3	3	3	4	2	3	3	"I"	"I"	"I"	"no"
