Subject	SessionTime	Block	Correct	Response.ACC	Response.RESP	Response.RT	Stimulus
40	14:15:42	13	le{SPACE}chenil{ENTER}	0	le{SPACE}cheville{ENTER}	4390	de kennel
40	14:15:42	14	la{SPACE}reliure{ENTER}	0	{.}{.}{.}{ENTER}	1050	de boekband
40	14:15:42	15	le{SPACE}recel{ENTER}	0	le{SPACE}resel{ENTER}	6169	de heling
40	14:15:42	16	le{SPACE}remous{ENTER}	0	le{SPACE}{.}{.}{.}{ENTER}	5734	de zuiging
40	14:15:42	17	le{SPACE}geni{SHIFT}evre{ENTER}	0	le{SPACE}{.}{.}{.}{ENTER}	13388	de jeneverbes
40	14:15:42	18	le{SPACE}sevrage{ENTER}	0	le{SPACE}reculer{ENTER}	8671	het onttrekken
40	14:15:42	19	la{SPACE}semelle{ENTER}	0	{SPACE}le{SPACE}semele{ENTER}	6296	de schoenzool
40	14:15:42	20	la{SPACE}secousse{ENTER}	0	la{SPACE}repouche{ENTER}	5744	de ruk
40	14:15:42	21	le{SPACE}faisan{ENTER}	0	le{SPACE}fazante{ENTER}	8115	de fazant
40	14:15:42	22	la{SPACE}belette{ENTER}	0	le{SPACE}{.}{.}{ENTER}	3698	de wezel
40	14:15:42	23	le{SPACE}meneau{ENTER}	0	le{SPACE}{.}{.}{ENTER}	3605	de paal
40	14:15:42	24	le{SPACE}renard{ENTER}	1	le{SPACE}renard{ENTER}	2907	de vos
41	13:45:30	1	la{SPACE}bedaine{ENTER}	0	{SPACE}{ENTER}	26821	de bierbuik
41	13:45:30	2	la{SPACE}peluche{ENTER}	0	le{SPACE}pluche{ENTER}	11855	het pluisje
41	13:45:30	3	le{SPACE}recul{ENTER}	0	le{SPACE}recole{ENTER}	8265	de teruggang
41	13:45:30	4	la{SPACE}pelouse{ENTER}	0	{SPACE}{ENTER}	22338	het gazon
41	13:45:30	5	le{SPACE}fenouil{ENTER}	0	la{SPACE}frier{ENTER}	13324	de venkel
41	13:45:30	6	la{SPACE}levrette{ENTER}	0	le{SPACE}schmien{ENTER}	6876	de windhond
41	13:45:30	7	le{SPACE}reflet{ENTER}	0	le{SPACE}reflex{ENTER}	2919	de reflex
41	13:45:30	8	le{SPACE}requin{ENTER}	0	{SPACE}{SHIFT}{ENTER}	23430	de haai
41	13:45:30	9	la{SPACE}semoule{ENTER}	0	le{SPACE}{ENTER}	23145	de griesmeel
