set	Correct	Subject	SessionTime	Block	Response.ACC	Response.RESP	Response.RT	Stimulus	group	p_universally	p_french	p_dutch	r
t01	la belette	14	14:14:11	22	0	le tablet	15198	de wezel	2	L	L	L	no
t01	la belette	12	9:49:26	22	0	la blEte	4406	de wezel	2	L	L	L	no
t01	la belette	10	12:22:13	22	0		8929	de wezel	2	L	L	L	no
t01	la belette	254	15:49:39	22	0	le notre	3060	de wezel	2	L	L	L	no
t01	la belette	31	12:15:43	22	0	a bullet	1957	de wezel	1	L	L	L	no
t01	la belette	20	11:13:42	22	0	la bred	7749	de wezel	2	L	L	L	no
t01	la belette	22	13:15:11	22	0	{?}	1240	de wezel	2	L	L	L	no
t01	la belette	34	13:16:28	22	0	la fuche	7044	de wezel	2	L	L	L	no
t01	la belette	36	9:23:20	22	0	le bleediont	9185	de wezel	2	L	L	L	no
t01	la belette	9	11:17:46	22	0	le bullet	9978	de wezel	1	L	L	L	no
t01	la belette	21	11:41:17	22	0	le	1379	de wezel	1	L	L	L	no
t01	la belette	33	10:16:00	22	0	le bullet	5141	de wezel	1	L	L	L	no
t01	la belette	45	9:18:14	22	0	la ferret	2094	de wezel	1	L	L	L	no
t01	la belette	15	13:48:26	22	0	le  {?}	18655	de wezel	1	L	L	L	no
t01	la belette	42	14:45:04	22	0	weet niet meer	27838	de wezel	2	L	L	L	no
t01	la belette	249	11:17:33	22	0	le bullet	4957	de wezel	1	L	L	L	no
t01	la belette	41	13:55:09	22	0	le chennier	18764	de wezel	1	L	L	L	no
t01	la belette	30	11:13:11	22	0	le blet	4204	de wezel	2	L	L	L	no
t01	la belette	250	14:43:23	22	0	la bled	3400	de wezel	2	L	L	L	no
t01	la belette	46	15:40:31	22	0	la beusse	2610	de wezel	2	L	L	L	no
t01	la belette	29	9:45:19	22	0	le bullet	1978	de wezel	1	L	L	L	no
t01	la belette	40	9:11:44	22	0	la bouche	18894	de wezel	2	L	L	L	no
t01	la belette	44	10:10:37	22	0		2513	de wezel	2	L	L	L	no
t01	la belette	255	16:46:32	22	0	{?}	2729	de wezel	1	L	L	L	no
t01	la belette	43	13:27:33	22	0	le meton	5632	de wezel	1	L	L	L	no
t01	la belette	7	14:14:03	22	0	Le bullet	6281	de wezel	1	L	L	L	no
t01	la belette	38	11:14:09	22	0	le bullet	2650	de wezel	1	L	L	L	no
t01	la belette	256	12:06:21	22	0	{/}	3495	de wezel	2	L	L	L	no
t01	la belette	11	14:42:25	22	0	le redoubte	7981	de wezel	1	L	L	L	no
t01	la belette	16	10:30:32	22	0	le levrant	9190	de wezel	2	L	L	L	no
t01	la belette	25	14:13:34	22	0	la bullit	4180	de wezel	1	L	L	L	no
t01	la belette	6	12:16:10	22	0	la fret	11054	de wezel	2	L	L	L	no
t01	la belette	24	12:43:06	22	0	le scousE	12846	de wezel	2	L	L	L	no
t01	la belette	5	11:51:32	22	0	le bullet	3861	de wezel	1	L	L	L	no
t01	la belette	48	11:18:20	22	0	l{'} abnot	14797	de wezel	2	L	L	L	no
t01	la belette	32	12:11:40	22	0	la blat	3115	de wezel	2	L	L	L	no
t01	la belette	47	11:43:45	22	0	le bUllet	5371	de wezel	1	L	L	L	no
t01	la belette	252	11:46:19	22	0	le frEt	33351	de wezel	2	L	L	L	no
t01	la belette	27	10:17:40	22	0	le femoeur	5708	de wezel	1	L	L	L	no
t01	la belette	251	12:47:23	22	0	le bullet	7242	de wezel	1	L	L	L	no
t01	la belette	253	16:14:37	22	0	le b{QUOTE}Ullet	10461	de wezel	1	L	L	L	no
t01	la belette	19	14:45:48	22	0	le bullet	3001	de wezel	1	L	L	L	no
t01	la belette	26	16:42:55	22	0	le riuche	6526	de wezel	2	L	L	L	no
